# GXMame 0.7@@@@@@|NOID|NOCRC|x|2||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
smooncrs@@mooncrst@@mooncrst@@Super Moon Cresta|NOID|NOCRC|x|0||No Genre|region-unknown|Gremlin|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mooncrsb@@mooncrst@@mooncrst@@Moon Cresta (bootleg set 1)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mooncrs2@@mooncrst@@mooncrst@@Moon Cresta (bootleg set 2)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Nichibutsu|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mooncrs3@@mooncrst@@mooncrst@@Moon Cresta (bootleg set 3)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
fantazia@@mooncrst@@mooncrst@@Fantazia|NOID|NOCRC|x|0|1980|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
moonqsr@@-@@-@@Moon Quasar|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Nichibutsu|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mshuttle@@-@@-@@Moon Shuttle (US?)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Nichibutsu|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mshuttlj@@mshuttle@@mshuttle@@Moon Shuttle (Japan)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Nichibutsu|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mshutlj2@@mshuttle@@mshuttle@@Moon Shuttle (Japan set 2)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Nichibutsu|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
moonal2@@-@@-@@Moon Alien Part 2|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Nichibutsu|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
moonal2b@@moonal2@@moonal2@@Moon Alien Part 2 (older version)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Nichibutsu|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
supergx@@moonal2@@moonal2@@Super GX|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Nichibutsu|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
